,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Choice_12,Choice_13,Choice_14,Choice_15,Choice_16,Choice_17,Choice_18,Choice_19,Choice_20,Choice_21,Choice_22,Choice_23,Choice_24,Choice_25,Choice_26,Choice_27,Choice_28,Choice_29,Choice_30,Choice_31,Choice_32,Choice_33,Choice_34,Choice_35,Choice_36,Choice_37,Choice_38,Choice_39,Choice_40,Choice_41,Choice_42,Choice_43,Choice_44,Choice_45,Choice_46,Choice_47,Choice_48,Choice_49,Choice_50,Choice_51,Choice_52,Choice_53,Choice_54,Choice_55,Choice_56,Choice_57,Choice_58,Choice_59,Choice_60,Choice_61,Choice_62,Choice_63,Choice_64,Choice_65,Choice_66,Choice_67,Choice_68,Choice_69,Choice_70,Choice_71,Choice_72,Choice_73,Choice_74,Choice_75,Choice_76,Choice_77,Choice_78,Choice_79,Choice_80,Choice_81,Choice_82,Choice_83,Choice_84,Choice_85,Choice_86,Choice_87,Choice_88,Choice_89,Choice_90,Choice_91,Choice_92,Choice_93,Choice_94,Choice_95,Choice_96,Choice_97,Choice_98,Choice_99,Choice_100,Subj,Study
311,1,3,2,1,3,2,3,2,2,2,1,4,4,3,4,2,2,1,2,4,2,3,4,4,4,4,1,4,2,4,3,1,3,1,4,3,2,1,4,2,3,4,2,4,1,1,1,1,1,1,4,3,4,3,2,3,1,1,4,2,1,3,4,4,3,2,1,3,4,1,1,2,3,4,3,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,312,Premkumar
312,2,3,2,4,2,1,1,1,3,1,1,4,4,4,4,4,4,4,1,2,2,2,2,2,2,4,4,3,3,2,1,4,3,2,4,1,3,2,1,2,2,3,4,4,4,4,4,3,3,4,4,4,3,1,2,2,2,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,4,3,4,1,2,3,1,4,4,3,2,1,4,4,3,4,1,3,4,1,2,2,1,1,4,4,3,313,Premkumar
313,4,3,2,1,1,2,3,4,1,2,2,2,2,2,3,4,1,2,2,2,1,2,4,2,4,4,4,4,4,1,4,3,4,1,1,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,314,Premkumar
314,1,1,4,4,1,2,2,3,1,2,4,1,3,3,2,4,1,3,2,4,3,1,4,1,3,2,1,2,2,3,4,2,1,1,1,2,3,2,3,2,4,2,1,2,2,1,1,4,3,4,2,2,2,3,4,4,4,1,2,3,3,4,4,2,2,1,1,3,3,4,1,2,2,3,2,3,2,2,3,2,3,4,2,3,2,2,2,3,3,2,1,4,1,2,2,3,3,1,4,3,315,Premkumar
315,1,2,3,1,2,4,3,3,4,4,4,4,4,4,4,4,4,3,3,1,2,3,3,3,3,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,1,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,4,1,4,316,Premkumar
316,2,3,3,2,2,3,2,1,4,2,1,1,2,2,3,2,4,2,3,1,1,1,4,3,2,1,4,3,4,2,4,1,4,1,2,2,2,3,4,1,2,2,3,4,4,1,1,2,2,3,4,4,3,2,2,1,4,3,4,3,1,2,3,3,4,4,3,2,2,1,1,4,3,3,4,2,2,4,3,1,2,2,4,3,3,2,1,4,4,3,4,3,2,2,1,4,4,3,4,3,317,Wood
317,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,3,2,1,2,4,3,1,2,4,3,1,2,4,3,2,1,2,1,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,1,1,2,2,2,2,2,2,2,318,Wood
318,2,4,4,1,1,1,2,3,2,1,4,4,1,3,3,1,3,1,2,2,4,3,3,2,1,2,2,3,4,1,4,2,4,3,4,1,2,1,3,2,2,4,2,1,3,1,2,1,4,4,2,2,1,3,3,4,1,2,2,3,1,2,1,3,3,4,2,4,3,2,4,2,3,4,4,2,3,2,4,4,2,3,1,2,2,3,2,4,4,2,2,4,4,2,2,1,2,2,3,2,319,Wood
319,1,1,1,2,2,3,3,4,4,1,2,2,3,1,2,3,4,3,4,1,1,2,3,4,1,2,3,1,2,2,3,4,4,1,2,4,3,3,2,1,2,3,4,1,2,4,2,3,3,1,4,4,2,3,1,2,3,4,1,1,2,2,4,3,2,4,1,1,2,2,2,2,2,3,3,3,4,4,4,1,3,4,4,1,3,1,2,4,4,3,3,4,3,1,2,2,2,4,4,4,320,Wood
320,3,4,1,2,4,1,3,4,1,2,3,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,1,3,1,4,2,3,1,4,2,3,1,4,3,2,4,3,1,2,4,1,3,2,4,2,3,1,4,3,2,4,2,2,4,1,3,1,2,4,3,3,2,4,2,1,1,4,2,3,4,2,1,4,3,2,4,2,2,4,2,2,2,2,2,2,4,3,2,4,4,2,2,1,3,4,321,Wood
321,3,4,2,1,3,2,1,1,3,2,2,2,2,2,2,2,2,3,1,1,4,4,3,2,1,1,2,3,2,4,3,2,1,1,3,4,2,3,2,4,3,1,4,3,2,3,4,3,4,3,1,3,4,2,3,4,1,2,3,4,1,2,4,3,1,2,4,3,2,4,1,3,4,1,2,3,1,4,3,2,1,2,3,4,1,2,3,2,4,2,4,2,4,3,1,2,3,4,1,3,322,Wood
322,2,1,3,4,4,3,2,1,3,1,2,2,4,3,4,2,1,2,4,1,1,2,4,3,2,4,1,2,4,2,2,3,2,4,1,3,1,4,2,4,1,4,2,3,1,2,3,2,4,2,1,2,4,3,3,1,4,4,2,4,1,3,3,4,1,2,4,4,3,1,2,2,1,2,3,4,4,4,2,4,1,4,3,2,2,4,2,1,4,2,4,2,3,4,2,2,1,4,4,2,323,Wood
323,1,2,3,4,4,3,1,2,2,4,4,3,2,1,2,2,1,3,4,4,3,1,2,1,2,4,4,3,3,2,1,4,2,1,3,4,2,1,3,4,2,4,3,3,3,2,1,4,4,2,2,1,3,3,4,4,2,1,3,1,2,4,3,2,1,4,3,2,4,3,3,2,4,1,1,1,1,2,2,3,4,2,3,3,2,4,3,4,3,2,3,4,3,2,2,3,4,2,3,3,324,Wood
324,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,3,4,3,2,4,4,4,4,4,4,4,3,2,1,4,4,1,2,4,4,3,2,4,3,4,3,4,2,4,3,2,1,4,2,3,1,4,3,4,2,4,1,2,3,4,4,1,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2,3,4,3,3,325,Wood
325,2,4,2,1,1,3,1,2,2,3,2,2,4,2,1,2,2,2,2,1,4,3,2,2,4,4,1,4,3,2,3,4,4,4,4,2,1,2,2,3,4,2,4,3,3,4,3,4,4,2,4,4,4,3,2,4,4,3,4,4,3,4,4,4,3,4,4,4,4,2,4,3,1,4,3,4,4,1,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,3,326,Wood
326,1,1,1,2,2,3,4,2,3,4,2,3,4,1,1,2,2,3,3,4,4,2,2,3,3,1,1,2,3,4,4,3,4,4,4,1,1,2,3,2,4,2,4,1,2,4,2,1,1,2,2,3,2,4,2,1,2,3,2,4,2,1,2,2,3,4,4,4,3,2,3,2,2,4,2,4,1,2,3,4,3,2,3,4,2,4,4,3,2,4,3,2,2,4,4,4,3,2,1,3,327,Wood
327,3,1,3,2,1,2,3,3,4,1,1,1,3,2,4,4,4,1,1,1,2,3,3,4,4,1,1,1,1,2,2,3,2,4,2,3,2,4,3,2,1,3,2,1,4,3,2,1,2,3,4,3,2,3,2,1,3,4,2,1,2,3,1,1,1,2,2,3,1,4,4,1,1,2,3,1,1,1,3,1,4,3,4,3,1,2,2,1,4,3,2,1,3,1,1,1,1,1,1,1,328,Wood
328,4,3,4,3,3,4,4,4,4,4,4,4,4,2,1,2,1,2,1,2,2,3,4,2,1,4,3,2,1,2,4,3,3,4,2,3,4,1,2,3,4,2,2,2,2,1,4,3,4,4,4,2,2,2,2,2,2,2,1,3,4,1,2,2,4,3,2,1,4,3,2,1,4,2,3,4,1,2,3,4,2,4,2,4,2,4,2,3,1,2,1,2,3,4,2,1,4,4,3,2,329,Wood
329,3,3,3,4,4,2,2,1,1,3,3,4,4,2,2,1,3,4,2,1,3,4,2,2,1,3,3,3,4,4,2,2,1,1,3,3,4,4,2,1,4,4,1,4,2,3,4,4,1,2,3,4,3,2,4,3,1,3,4,4,2,3,4,1,2,2,3,3,4,1,1,3,3,4,1,2,3,3,4,2,1,3,4,3,3,2,4,4,3,4,1,3,2,4,4,1,2,3,4,3,330,Wood
330,2,3,1,1,2,3,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,2,2,2,1,1,1,2,1,3,4,1,1,3,2,4,4,3,4,3,1,1,1,2,2,2,2,2,3,3,3,3,4,4,2,3,2,4,1,3,2,4,3,1,1,2,2,2,2,4,3,1,1,2,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,1,3,1,4,4,331,Wood
331,1,2,1,2,1,2,3,4,1,2,1,3,4,3,4,1,1,4,3,2,2,3,4,4,4,4,4,4,1,1,4,3,3,2,2,2,4,4,4,4,4,3,4,3,4,1,4,3,4,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,2,1,3,332,Wood
332,1,1,4,4,2,2,3,3,1,3,4,4,1,2,4,3,1,4,4,4,4,4,3,1,1,1,4,3,2,1,4,3,3,2,4,1,4,4,4,4,4,1,2,3,4,1,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,3,4,4,1,2,3,4,4,1,2,4,4,3,3,4,3,3,1,4,3,4,3,3,1,2,4,4,1,4,4,2,3,2,1,4,3,1,2,3,333,Wood
333,1,3,1,2,2,1,4,3,2,3,4,3,1,2,3,4,1,2,2,3,4,4,2,4,2,4,4,2,3,1,1,3,3,2,4,2,4,1,3,1,2,2,1,4,4,3,2,1,2,3,4,2,1,3,2,2,1,1,2,2,4,4,3,2,2,2,1,3,4,4,4,4,2,3,3,1,1,2,2,3,4,1,1,2,2,3,3,1,2,1,3,4,3,4,1,2,3,2,4,2,334,Wood
334,2,2,2,2,2,3,4,1,1,1,2,2,2,2,3,4,1,1,2,1,3,1,2,4,1,2,3,4,1,2,3,1,4,4,1,2,3,4,1,1,2,4,3,2,4,1,3,2,4,1,2,3,3,4,3,4,3,4,1,4,1,2,3,4,3,4,2,4,3,1,4,3,2,4,3,4,1,2,3,4,1,2,3,4,3,1,2,4,3,4,4,4,3,3,3,4,4,4,2,3,335,Wood
335,1,3,1,3,1,2,4,3,2,2,2,2,2,2,2,2,1,1,2,3,4,1,1,2,3,4,4,4,3,3,2,1,3,4,3,1,2,1,4,3,1,3,4,2,1,3,3,3,3,4,3,2,1,2,4,4,3,1,4,3,3,4,3,4,1,2,3,3,4,3,1,4,2,4,1,2,1,3,2,3,1,4,3,2,1,2,1,2,1,2,3,4,1,2,3,1,1,3,2,4,336,Wood
336,2,1,3,4,2,1,3,4,3,1,2,4,3,2,2,4,2,4,3,1,2,4,2,1,2,3,4,1,2,4,3,4,4,1,3,2,4,3,3,4,2,1,2,4,3,2,1,1,4,3,2,2,3,4,2,4,1,4,2,3,1,4,3,4,1,1,2,3,4,3,4,4,4,1,3,4,4,2,1,4,2,2,2,2,2,3,4,1,2,1,4,1,3,4,2,4,3,4,4,2,337,Wood
337,1,3,4,2,1,1,2,3,4,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,3,1,1,2,2,1,2,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,338,Wood
338,4,1,2,3,4,3,2,1,1,2,3,4,4,2,4,2,4,2,2,4,2,4,2,4,4,3,1,3,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,1,3,3,3,4,4,3,1,1,2,2,3,3,3,4,4,2,4,4,4,4,3,3,3,3,3,339,Wood
339,1,3,2,4,1,3,2,4,1,2,4,3,1,4,2,3,3,1,2,3,4,1,3,2,3,4,1,2,3,1,4,2,1,3,4,2,3,1,2,3,1,2,3,4,2,3,1,2,3,4,2,3,1,4,2,1,3,2,4,2,4,3,1,2,4,2,1,4,3,2,4,1,2,3,4,2,3,4,3,1,2,4,3,2,2,3,1,3,2,4,1,2,3,4,2,1,3,2,3,4,340,Wood
340,1,1,2,2,1,3,3,4,4,1,2,3,4,2,2,2,3,1,2,4,4,4,4,3,1,2,1,2,1,1,4,4,3,3,2,2,1,1,4,2,2,3,1,4,3,2,1,1,2,3,4,1,2,3,4,1,2,3,3,4,1,1,2,3,4,1,2,3,4,4,4,4,4,4,3,3,3,2,2,1,2,3,4,1,2,3,4,4,3,2,1,1,2,3,4,3,2,1,1,2,341,Wood
341,1,1,1,2,3,4,1,1,2,3,4,4,4,4,4,4,1,1,4,4,4,3,2,2,2,2,4,1,1,4,2,2,2,3,3,2,2,2,4,4,4,1,2,3,3,3,3,3,2,4,4,4,4,1,2,1,1,3,3,3,4,2,1,2,3,3,4,4,1,2,3,3,4,4,2,1,3,4,1,2,3,3,3,4,1,1,2,1,3,4,1,2,3,3,3,3,3,3,3,3,342,Wood
342,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,3,3,3,3,4,4,1,2,2,4,4,3,3,3,1,1,2,1,2,2,2,3,1,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,4,4,2,3,3,3,3,3,3,3,1,2,2,2,4,4,4,2,4,4,3,343,Wood
343,4,4,4,4,4,4,4,4,4,4,3,4,2,4,1,4,2,4,1,1,2,4,4,3,4,2,4,1,2,4,3,4,1,1,1,2,2,4,4,3,1,4,4,3,2,3,4,3,1,2,4,4,3,4,1,2,4,3,3,3,3,4,3,4,4,3,1,1,3,3,3,3,4,3,4,4,3,1,4,3,4,3,3,4,4,1,3,3,4,3,4,3,4,4,4,3,3,4,2,3,344,Wood
344,4,3,2,1,2,1,2,1,2,1,2,1,2,3,2,3,4,4,4,2,2,3,4,3,4,4,4,4,4,2,1,4,3,4,3,4,3,4,3,1,3,4,3,4,3,4,3,4,4,4,3,2,1,2,1,2,1,2,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,2,1,1,1,2,2,1,2,2,2,1,3,2,2,3,2,4,4,4,4,4,345,Wood
345,4,4,1,1,4,4,1,2,4,2,1,4,2,1,3,2,3,4,4,4,1,2,4,3,2,1,4,2,4,4,2,1,4,2,3,3,4,1,3,2,4,4,3,2,4,1,4,2,4,3,1,2,4,1,2,4,3,2,1,3,4,4,1,2,4,3,2,3,4,1,2,4,3,2,2,4,3,4,2,1,4,2,3,1,2,4,3,4,2,3,4,2,4,2,1,3,2,4,4,2,346,Wood
346,2,2,4,1,1,1,3,1,2,4,2,1,3,2,1,4,2,3,1,2,2,2,2,4,3,3,1,2,3,1,4,3,2,1,3,3,2,2,2,1,2,3,1,2,3,3,3,2,4,2,1,2,4,3,2,1,2,2,3,4,1,2,3,3,4,2,3,1,2,3,4,2,1,3,2,4,1,2,2,2,2,2,3,2,3,1,2,4,3,2,1,3,1,2,4,3,1,2,2,2,347,Wood
347,3,2,2,4,1,3,2,4,1,2,3,4,1,3,2,3,2,3,2,4,2,2,3,3,3,1,2,3,2,3,2,4,1,2,3,2,3,4,1,4,2,3,2,4,1,4,3,2,2,2,2,2,2,2,3,3,4,4,4,4,1,1,2,3,4,3,3,2,2,2,2,2,2,2,2,3,2,4,1,2,3,2,2,4,1,3,4,1,2,3,4,2,1,3,4,4,4,4,4,4,348,Wood
348,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,2,4,3,2,2,4,3,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,349,Wood
349,1,1,1,3,3,2,2,2,2,2,4,4,2,2,2,2,1,2,2,2,3,3,3,2,4,4,4,4,4,1,1,3,3,3,3,4,4,4,1,2,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,1,1,1,4,1,4,2,350,Wood
350,1,2,3,4,1,1,2,2,2,2,2,3,2,4,3,2,2,4,2,3,2,1,2,1,2,3,4,2,3,1,1,4,2,1,4,4,4,4,4,2,3,2,2,1,2,2,4,3,4,2,1,3,4,4,4,2,3,2,2,4,2,3,1,3,1,4,4,2,3,2,4,3,1,2,4,3,1,2,4,2,1,2,4,3,3,2,2,1,2,3,2,2,1,2,4,4,3,3,4,2,351,Wood
351,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,4,4,3,1,1,3,3,3,3,3,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,2,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,352,Wood
352,2,2,3,1,2,2,3,1,2,3,4,2,4,1,2,2,4,4,2,2,2,1,4,4,2,3,4,1,2,2,4,4,3,4,1,1,3,3,1,4,3,1,4,4,3,2,4,2,1,2,4,3,2,4,2,3,1,4,4,3,4,2,1,4,3,2,4,3,4,4,1,3,4,4,4,4,3,4,4,4,4,1,3,3,4,3,2,4,3,1,4,4,3,3,4,3,4,3,4,3,353,Wood
353,1,1,1,4,1,2,3,1,2,4,4,2,3,3,4,2,1,2,4,4,4,1,2,2,2,2,4,4,4,3,2,2,1,1,2,4,4,4,3,4,4,4,4,4,4,4,2,3,1,2,4,4,4,4,3,3,3,4,4,4,4,2,3,4,2,4,4,2,4,3,2,4,4,3,2,4,2,3,1,4,2,4,4,4,2,4,4,3,3,3,4,2,3,3,4,4,2,4,3,2,354,Wood
354,1,2,3,4,2,1,1,3,4,2,1,2,3,4,2,1,2,3,4,2,1,3,4,2,1,2,3,4,1,2,3,4,2,1,1,3,4,2,3,4,1,2,3,4,1,3,4,2,3,3,4,1,2,4,1,2,3,4,1,1,3,4,1,2,4,1,2,2,3,3,4,4,1,2,2,3,4,1,2,3,3,4,1,2,3,2,3,4,3,4,2,3,4,2,3,4,2,4,3,4,355,Wood
355,1,3,2,4,3,1,2,4,1,3,2,4,3,1,2,3,4,1,2,4,2,1,3,4,2,3,1,2,3,4,1,3,4,1,3,4,3,2,2,1,3,4,2,3,1,4,2,2,3,1,4,3,2,2,2,3,1,4,2,3,4,4,1,3,2,3,1,4,3,2,1,3,2,4,1,1,3,2,4,2,3,1,4,2,3,1,2,3,4,3,2,4,1,2,3,4,2,3,1,3,356,Wood
356,3,1,4,2,3,1,4,2,3,1,2,1,4,3,4,1,2,3,2,1,4,3,2,1,4,3,4,1,4,2,3,1,3,2,4,3,4,1,3,2,4,1,4,2,3,4,1,2,3,4,1,3,2,1,2,3,1,4,2,3,1,4,2,3,2,4,1,4,3,2,4,1,3,2,4,1,2,3,4,1,3,2,4,1,4,1,4,2,3,4,3,1,4,2,1,3,4,2,3,2,357,Wood
357,1,2,3,1,3,4,2,3,1,2,3,4,3,2,1,4,1,3,2,3,4,1,2,3,4,2,1,2,3,4,2,1,3,2,2,2,2,2,2,2,4,3,3,1,2,4,4,3,2,1,4,4,2,2,2,1,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,4,1,1,1,1,1,4,3,2,3,1,2,3,4,4,4,4,4,4,4,4,4,4,4,1,358,Wood
358,3,1,4,3,2,1,4,2,3,4,2,4,1,2,4,2,3,1,4,2,1,3,3,1,4,3,3,1,1,4,3,3,3,1,3,3,3,1,4,2,3,3,1,4,4,3,3,3,1,3,2,4,1,2,3,1,4,2,3,3,1,2,2,2,4,3,3,3,3,1,1,4,2,2,4,1,2,3,3,3,3,3,1,4,3,1,4,3,3,2,3,1,4,3,3,3,3,3,4,2,359,Wood
359,1,1,3,2,4,3,1,2,4,4,3,2,1,2,4,3,2,1,2,4,4,2,3,2,4,4,2,1,3,4,3,1,2,4,2,2,2,2,1,3,4,1,2,4,4,4,4,4,1,3,2,4,4,4,3,2,4,2,2,2,3,2,3,4,3,4,4,4,4,4,4,4,4,3,1,4,3,2,4,4,4,4,4,3,1,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,360,Wood
360,1,2,3,4,1,2,1,2,2,3,3,4,4,4,4,4,4,4,2,2,2,2,4,2,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,2,3,4,1,2,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,1,1,1,1,4,2,4,1,2,4,1,1,4,4,4,2,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,361,Wood
361,1,2,3,4,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,2,1,2,3,4,1,2,3,4,1,2,4,2,4,2,4,2,3,4,1,2,4,1,2,4,2,4,2,3,1,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,362,Wood
362,3,3,3,4,4,2,2,1,1,1,4,4,3,1,1,2,3,2,2,1,1,2,4,2,1,1,2,2,3,3,4,4,4,1,2,2,2,2,2,1,1,4,4,4,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,2,3,1,2,3,4,1,2,3,4,1,2,3,3,1,2,4,4,4,1,4,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,363,Wood
363,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,2,3,4,1,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,4,2,3,1,4,2,3,1,3,1,1,1,4,2,3,2,4,1,3,2,1,4,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,364,Wood
364,3,3,4,3,2,2,3,1,1,4,2,2,1,2,2,4,3,3,3,1,4,2,2,2,1,4,4,3,3,3,1,1,2,4,3,2,2,1,1,4,3,4,1,1,1,2,1,2,4,2,1,2,3,3,2,1,2,4,3,2,1,1,2,2,3,3,3,4,2,2,1,3,4,3,2,4,3,1,2,2,4,3,1,2,1,4,2,3,3,1,4,4,3,4,2,1,3,3,2,4,365,Wood
365,3,4,2,2,1,1,1,2,4,3,3,2,1,4,2,3,1,4,2,4,3,1,4,2,1,3,2,4,3,1,2,1,3,1,2,4,1,3,2,1,2,4,3,1,4,3,3,3,3,3,1,2,4,3,3,1,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,2,4,3,1,3,2,3,4,3,1,2,3,2,3,2,4,3,1,2,3,2,3,1,2,3,2,3,1,3,366,Wood
366,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,2,367,Wood
367,2,3,1,3,1,1,2,4,4,1,2,3,1,2,3,1,4,4,2,4,4,1,3,2,2,4,2,2,1,3,4,2,3,1,4,4,3,2,3,1,2,2,2,2,1,3,4,4,2,1,3,3,4,4,4,2,2,4,3,4,4,2,3,4,4,2,3,1,3,4,2,3,4,2,2,4,1,3,2,2,4,2,2,4,4,2,2,3,2,4,2,3,4,2,3,4,1,2,3,2,368,Wood
368,2,3,4,1,2,2,3,2,2,1,4,1,2,2,2,2,3,1,2,1,4,3,2,2,2,2,3,1,2,3,2,3,2,1,2,3,4,2,3,2,2,2,3,1,2,4,3,1,2,3,3,4,2,4,2,4,2,4,2,4,4,2,1,2,3,4,2,2,2,2,2,4,1,3,2,1,2,2,2,3,3,2,2,2,3,2,2,1,4,4,4,4,4,4,3,3,2,2,3,3,369,Wood
369,1,2,4,1,3,4,3,1,2,2,1,1,4,3,4,4,4,1,1,2,3,3,2,1,2,4,3,3,1,1,4,4,4,2,1,3,4,1,2,3,1,1,2,4,3,4,1,2,1,2,3,4,2,1,2,4,1,3,2,1,1,1,2,4,4,2,3,1,2,3,4,3,4,2,2,1,4,1,2,3,2,2,1,4,3,1,2,4,2,3,1,2,2,4,3,1,4,3,4,2,370,Wood
370,2,1,2,3,4,3,3,2,1,3,1,4,2,2,2,4,3,1,2,3,3,4,4,4,4,4,4,4,3,3,2,2,1,1,3,4,4,4,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,3,3,2,2,4,4,371,Wood
371,1,2,3,4,1,2,3,4,1,1,2,2,2,2,2,2,2,1,1,4,1,4,4,4,4,4,3,4,4,2,3,1,4,1,2,3,1,2,3,1,4,2,3,4,1,1,1,2,3,3,4,4,4,4,4,1,4,2,4,3,2,2,2,4,1,4,4,4,1,2,4,4,4,4,2,3,1,4,3,4,4,4,4,1,1,1,1,1,1,1,4,4,3,3,3,1,1,1,1,4,372,Wood
372,3,1,4,3,4,1,2,4,1,2,4,3,1,2,4,3,1,2,1,3,4,2,1,3,4,3,1,4,2,1,4,2,3,1,4,2,4,1,3,2,4,2,3,1,2,1,4,3,1,2,4,2,4,3,1,1,4,2,2,2,4,4,4,2,2,2,2,2,1,1,4,3,1,4,4,2,2,4,4,4,1,1,3,3,1,4,2,3,3,1,1,2,2,4,1,3,2,2,1,4,373,Wood
373,2,3,1,4,2,1,1,2,1,2,1,2,3,2,2,2,2,2,2,1,4,3,1,1,2,3,4,2,2,3,3,3,3,2,3,4,4,4,4,4,4,4,1,4,4,4,3,2,1,4,4,4,4,4,4,3,3,2,1,1,2,2,2,4,3,2,1,1,1,4,4,3,3,4,4,4,2,4,2,4,1,4,4,1,4,4,4,2,3,3,1,1,4,4,2,2,3,1,1,4,374,Wood
374,1,2,3,4,1,2,3,4,4,3,2,1,1,2,3,4,4,3,2,1,1,2,3,4,4,3,2,1,1,2,3,4,4,3,2,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,1,4,4,3,2,4,1,3,3,2,4,3,2,1,4,3,2,4,1,3,2,4,4,3,4,4,3,2,1,4,3,2,1,2,3,4,3,2,1,2,3,2,375,Wood
